# {"t_start": 1652857116.812812, "env_id": "FetchReach-v1"} 
r,l,t
-3.0,50,4.073787
-2.0,50,6.407538
-2.0,50,8.75918
-1.0,50,11.124655
-3.0,50,13.440814
-3.0,50,15.759717
-3.0,50,18.08692
-2.0,50,20.404093
-2.0,50,22.71961
-1.0,50,25.037371
-1.0,50,27.337005
-1.0,50,29.650118
-1.0,50,31.965841
-1.0,50,34.26656
-2.0,50,36.565978
-2.0,50,38.88416
-1.0,50,41.180623
-2.0,50,43.498931
-3.0,50,45.828829
-1.0,50,48.131159
0.0,50,50.427715
0.0,50,52.728678
0.0,50,55.045748
-1.0,50,57.359268
-1.0,50,59.660547
-2.0,50,61.975965
0.0,50,64.278466
-3.0,50,66.592132
-3.0,50,68.925715
-3.0,50,71.257271
0.0,50,73.556783
-3.0,50,75.889901
-2.0,50,78.18987
-1.0,50,80.487318
0.0,50,82.804366
-1.0,50,85.104536
-2.0,50,87.41932
0.0,50,89.736693
-2.0,50,92.053089
-2.0,50,94.366859
-3.0,50,96.68369
-2.0,50,98.984201
-3.0,50,101.348843
